Rank,Stock_Name,Company,Score,Stock_Url,Forum_Url
1,TOPGLOV,TOP GLOVE CORP BHD,1000 ,/servlets/stk/7113.jsp,/servlets/forum/800001345.jsp
2,SERBADK,SERBA DINAMIK HOLDINGS BHD,831 ,/servlets/stk/5279.jsp,/servlets/forum/800005607.jsp
3,SUPERMX,SUPERMAX CORP BHD,777 ,/servlets/stk/7106.jsp,/servlets/forum/800001331.jsp
4,DNEX,DAGANG NEXCHANGE BHD,594 ,/servlets/stk/4456.jsp,/servlets/forum/800000692.jsp
5,AIRASIA,AIRASIA GROUP BHD,412 ,/servlets/stk/5099.jsp,/servlets/forum/800000864.jsp
6,PHARMA,PHARMANIAGA BHD,393 ,/servlets/stk/7081.jsp,/servlets/forum/800001303.jsp
7,CAREPLS,CAREPLUS GROUP BHD,393 ,/servlets/stk/0163.jsp,/servlets/forum/800000181.jsp
8,GENTING,GENTING BHD,370 ,/servlets/stk/3182.jsp,/servlets/forum/800000520.jsp
9,MAYBANK,MALAYAN BANKING BHD,365 ,/servlets/stk/1155.jsp,/servlets/forum/800000318.jsp
10,PBBANK,PUBLIC BANK BHD,341 ,/servlets/stk/1295.jsp,/servlets/forum/800000339.jsp
11,VSTECS,VSTECS BERHAD ,335 ,/servlets/stk/5162.jsp,/servlets/forum/800000962.jsp
12,TENAGA,TENAGA NASIONAL BHD,315 ,/servlets/stk/5347.jsp,/servlets/forum/800001039.jsp
13,INARI,INARI AMERTRON BHD,309 ,/servlets/stk/0166.jsp,/servlets/forum/800001951.jsp
14,HARTA,HARTALEGA HOLDINGS BHD,284 ,/servlets/stk/5168.jsp,/servlets/forum/800000967.jsp
15,GLOTEC,GLOBALTEC FORMATION BERHAD,273 ,/servlets/stk/5220.jsp,/servlets/forum/800002422.jsp
16,BAT,BRITISH AMERICAN TOBACCO MALAYSIA BHD,271 ,/servlets/stk/4162.jsp,/servlets/forum/800000654.jsp
17,GENM,GENTING MALAYSIA BHD,265 ,/servlets/stk/4715.jsp,/servlets/forum/800000712.jsp
18,COMFORT,COMFORT GLOVES BHD,261 ,/servlets/stk/2127.jsp,/servlets/forum/800000435.jsp
19,QES,QES GROUP BHD,260 ,/servlets/stk/0196.jsp,/servlets/forum/800006775.jsp
20,VITROX,VITROX CORP BHD,258 ,/servlets/stk/0097.jsp,/servlets/forum/800000116.jsp
21,KGB,KELINGTON GROUP BHD,255 ,/servlets/stk/0151.jsp,/servlets/forum/800000171.jsp
22,CTOS,CTOS DIGITAL BERHAD,238 ,/servlets/stk/5301.jsp,/servlets/forum/800011056.jsp
23,JAKS,JAKS RESOURCES BHD,217 ,/servlets/stk/4723.jsp,/servlets/forum/800000723.jsp
24,SCOPE,SCOPE INDUSTRIES BHD,216 ,/servlets/stk/0028.jsp,/servlets/forum/800000031.jsp
25,MYEG,MY E.G.SERVICES BHD,210 ,/servlets/stk/0138.jsp,/servlets/forum/800000158.jsp
26,KOSSAN,KOSSAN RUBBER INDUSTRIES BHD,209 ,/servlets/stk/7153.jsp,/servlets/forum/800001389.jsp
27,AT,AT SYSTEMATIZATION BHD,206 ,/servlets/stk/0072.jsp,/servlets/forum/800000084.jsp
28,BIG,B. I. G. INDUSTRIES BHD,204 ,/servlets/stk/7005.jsp,/servlets/forum/800001226.jsp
29,RUBEREX,RUBBEREX CORP (M) BHD,200 ,/servlets/stk/7803.jsp,/servlets/forum/800001566.jsp
30,PRLEXUS,PROLEXUS BHD,199 ,/servlets/stk/8966.jsp,/servlets/forum/800001676.jsp
