Rank,Stock_Name,Company,Score,total_comments,unique_user,min_comments_dt,max_comments_dt,dt_difference,avg_negative,avg_neutral,avg_positive,avg_compound
1,TOPGLOV,TOP GLOVE CORP BHD,1000 ,526,96,19/7/2021 23:11,25/7/2021 20:38,5 days 21:27:00,0.068463878,0.799249049,0.132281369,0.094313688
2,SERBADK,SERBA DINAMIK HOLDINGS BHD,831 ,521,92,22/7/2021 18:55,25/7/2021 20:20,3 days 01:25:00,0.087026871,0.782504798,0.130458733,0.120703263
3,SUPERMX,SUPERMAX CORP BHD,777 ,524,103,20/7/2021 14:52,25/7/2021 20:37,5 days 05:45:00,0.082769084,0.801362595,0.115874046,0.052257061
4,DNEX,DAGANG NEXCHANGE BHD,594 ,510,109,13/7/2021 16:30,25/7/2021 20:28,12 days 03:58:00,0.035935294,0.828070588,0.135992157,0.210632549
5,AIRASIA,AIRASIA GROUP BHD,412 ,508,106,13/7/2021 14:51,25/7/2021 20:39,12 days 05:48:00,0.075464567,0.797125984,0.127397638,0.095479724
6,PHARMA,PHARMANIAGA BHD,393 ,513,67,17/7/2021 14:45,25/7/2021 20:09,8 days 05:24:00,0.051575049,0.833912281,0.114506823,0.119297661
7,CAREPLS,CAREPLUS GROUP BHD,393 ,537,130,2/6/2021 16:33,25/7/2021 20:07,53 days 03:34:00,0.051037244,0.835301676,0.11366108,0.091895903
8,GENTING,GENTING BHD,370 ,538,64,16/7/2021 19:30,25/7/2021 20:31,9 days 01:01:00,0.071236059,0.763412639,0.165347584,0.130339033
9,MAYBANK,MALAYAN BANKING BHD,365 ,546,70,21/6/2021 15:09,25/7/2021 20:40,34 days 05:31:00,0.0665,0.774644689,0.158840659,0.213098901
10,PBBANK,PUBLIC BANK BHD,341 ,513,98,12/5/2021 9:14,25/7/2021 17:04,74 days 07:50:00,0.053534113,0.797251462,0.149202729,0.195515205
11,VSTECS,VSTECS BERHAD ,335 ,524,138,23/1/2020 19:46,22/7/2021 15:47,545 days 20:01:00,0.051553435,0.782784351,0.165664122,0.203894847
12,TENAGA,TENAGA NASIONAL BHD,315 ,547,151,27/4/2021 11:06,24/7/2021 10:29,87 days 23:23:00,0.053478976,0.794480804,0.15204936,0.2133117
13,INARI,INARI AMERTRON BHD,309 ,482,111,6/5/2021 17:50,25/7/2021 11:26,79 days 17:36:00,0.087865145,0.752923237,0.159188797,0.150857261
14,HARTA,HARTALEGA HOLDINGS BHD,284 ,535,159,1/6/2021 8:35,25/7/2021 20:38,54 days 12:03:00,0.082790654,0.769416822,0.147790654,0.120114393
15,GLOTEC,GLOBALTEC FORMATION BERHAD,273 ,541,195,23/5/2018 17:46,25/7/2021 18:54,1159 days 01:08:00,0.061042514,0.812123845,0.126829945,0.130534935
16,BAT,BRITISH AMERICAN TOBACCO MALAYSIA BHD,271 ,512,74,29/4/2021 16:13,24/7/2021 17:29,86 days 01:16:00,0.044550781,0.8134375,0.142019531,0.168008008
17,GENM,GENTING MALAYSIA BHD,265 ,509,107,10/6/2021 11:17,25/7/2021 20:38,45 days 09:21:00,0.044286837,0.829638507,0.126070727,0.10779057
18,COMFORT,COMFORT GLOVES BHD,261 ,513,90,24/6/2021 16:47,25/7/2021 20:40,31 days 03:53:00,0.053140351,0.789362573,0.157483431,0.209453021
19,QES,QES GROUP BHD,260 ,499,94,8/7/2021 21:33,25/7/2021 20:13,16 days 22:40:00,0.048372745,0.79406012,0.157563126,0.183903808
20,VITROX,VITROX CORP BHD,258 ,514,172,16/8/2018 14:03,24/7/2021 16:00,1073 days 01:57:00,0.08481323,0.766441634,0.148752918,0.122253113
21,KGB,KELINGTON GROUP BHD,255 ,546,67,7/5/2021 10:53,25/7/2021 13:44,79 days 02:51:00,0.033016484,0.778379121,0.188624542,0.343588828
22,CTOS,CTOS DIGITAL BERHAD,238 ,524,183,1/7/2021 15:43,25/7/2021 8:29,23 days 16:46:00,0.064593511,0.78190458,0.153498092,0.173116221
23,JAKS,JAKS RESOURCES BHD,217 ,526,123,26/5/2021 13:04,25/7/2021 9:13,59 days 20:09:00,0.07256654,0.78861597,0.138819392,0.149168251
24,SCOPE,SCOPE INDUSTRIES BHD,216 ,515,152,4/4/2018 19:47,25/7/2021 20:33,1208 days 00:46:00,0.047726214,0.813916505,0.138353398,0.191038447
25,MYEG,MY E.G.SERVICES BHD,210 ,522,176,14/3/2021 17:48,23/7/2021 16:10,130 days 22:22:00,0.052091954,0.806528736,0.141386973,0.190052107
26,KOSSAN,KOSSAN RUBBER INDUSTRIES BHD,209 ,540,161,5/5/2021 11:20,25/7/2021 20:39,81 days 09:19:00,0.08117037,0.788624074,0.130218519,0.09652537
27,AT,AT SYSTEMATIZATION BHD,206 ,499,80,2/7/2021 16:29,25/7/2021 14:54,22 days 22:25:00,0.079933868,0.829697395,0.090382766,0.067361723
28,BIG,B. I. G. INDUSTRIES BHD,204 ,515,76,1/7/2021 11:01,25/7/2021 20:22,24 days 09:21:00,0.026891262,0.858568932,0.114535922,0.142147767
29,RUBEREX,RUBBEREX CORP (M) BHD,200 ,527,96,16/6/2021 14:24,25/7/2021 19:34,39 days 05:10:00,0.071840607,0.777280835,0.150874763,0.162406452
30,PRLEXUS,PROLEXUS BHD,199 ,469,64,18/6/2021 17:24,25/7/2021 18:20,37 days 00:56:00,0.092223881,0.767530917,0.140234542,0.132131557
